date,open,high,low,close,volume,market cap
2014-11-23,350.848,364.841,350.848,353.273,20202844.444444444,4845465956.954905
2014-11-24,352.92,370.845,352.92,367.968,13182837.847222222,4869591101.252815
2014-11-25,367.573,387.209,366.669,376.631,23085671.77700349,5071139413.02884
2014-11-26,376.901,394.701,374.784,375.001,32861720.0,5190208285.300766
2014-11-27,375.348,377.698,365.816,367.066,22495653.125,5037739636.221661
2014-11-28,368.37,373.992,368.282,369.535,13383612.743055556,5051944661.550161
2014-11-29,369.67,382.838,358.455,377.006,13009240.174216028,5002423198.125071
2014-11-30,376.447,387.601,372.145,375.534,21539838.194444444,5121970099.471357
2014-12-01,375.491,382.527,373.309,378.236,13082616.875,5120826488.771708
2014-12-02,378.047,383.662,376.669,379.366,9976279.05923345,5148701257.355244
2014-12-03,379.245,384.038,377.863,381.711,11269971.909722222,5167661926.368617
2014-12-04,381.315,383.026,374.346,375.222,13254944.791666666,5140256939.887297
2014-12-05,375.01,378.655,367.759,369.066,13592784.668989548,5081288819.759017
2014-12-06,369.604,379.192,365.756,376.616,14849330.208333334,5052083334.134322
2014-12-07,376.854,378.448,370.945,374.783,12420458.402777778,5089345920.590358
2014-12-08,374.785,376.292,373.275,375.156,5773274.756944444,5093570469.843229
2014-12-09,375.095,376.029,361.886,361.886,11745634.529616725,5015765744.970506
2014-12-10,361.909,363.067,344.951,351.581,28082595.486111112,4796591788.532588
